,BARRIO,CODIGOPOSTAL,DENOMINACION,DISTRITO,LATITUD,LONGITUD,TIPOTRANSPORTE,BARRIO_NOMBRE,DISTRITO_NOMBRE
0,94.0,28039.0,NOVICIADO,9.0,40.42484223357842,-3.707419042613631,Metro,Valdezarza,Moncloa - Aravaca
1,93.0,28040.0,ESTRELLA,9.0,40.41147221920649,-3.6617852707606366,Metro,Ciudad Universitaria,Moncloa - Aravaca
2,93.0,28040.0,RIOS ROSAS,9.0,40.44197535635587,-3.7013284811772937,Metro,Ciudad Universitaria,Moncloa - Aravaca
3,61.0,28039.0,CAMPAMENTO,6.0,40.3948077574021,-3.7681281367874084,Metro,Bellas Vistas,TetuÃ¡n
4,61.0,28039.0,USERA,6.0,40.38709669326968,-3.706895642789324,Metro,Bellas Vistas,TetuÃ¡n
5,76.0,28003.0,O'DONNELL,7.0,40.42288842464461,-3.6685951462919535,Metro,Vallehermoso,ChamberÃ­
6,135.0,28018.0,PUERTA DEL ANGEL,13.0,40.41389889439627,-3.7272404518154256,Metro,Portazgo,Puente de Vallecas
7,76.0,28003.0,EL BERCIAL,7.0,40.3290723674829,-3.729633180489337,Metro,Vallehermoso,ChamberÃ­
8,76.0,28003.0,HOSPITAL 12 DE OCTUBRE,7.0,40.375031361291015,-3.695854692444559,Metro,Vallehermoso,ChamberÃ­
9,107.0,28044.0,ALMENDRALES,10.0,40.38409352717396,-3.697881397655217,Metro,Aguilas,Latina
10,208.0,28027.0,LAVAPIES,20.0,40.40851094285593,-3.700904123200477,Metro,Salvador,San Blas - Canillejas
11,74.0,28010.0,TRES OLIVOS,7.0,40.50120462748204,-3.6952024504667382,Metro,Almagro,ChamberÃ­
12,205.0,28022.0,SAN FERMIN-ORCASUR,20.0,40.369990930550905,-3.694176414503696,Metro,Rosas,San Blas - Canillejas
13,143.0,28030.0,GARCIA NOBLEJAS,14.0,40.428423190545146,-3.6332994657273185,Metro,Marroquina,Moratalaz
14,84.0,28029.0,GREGORIO MARAÑON,8.0,40.43825099442897,-3.691482862119011,Metro,Pilar,Fuencarral - El Pardo
15,192.0,28032.0,PEÑAGRANDE,19.0,40.47592352024965,-3.7158241579124778,Metro,Valdebernardo,VicÃ¡lvaro
16,192.0,28032.0,HERRERA ORIA,19.0,40.48466278015302,-3.70751021303079,Metro,Valdebernardo,VicÃ¡lvaro
17,145.0,28030.0,PIO XII,14.0,40.463002760511316,-3.6757901500189503,Metro,FontarrÃ³n,Moratalaz
18,33.0,28007.0,ARGÜELLES,3.0,40.43066093022461,-3.7159626510948343,Metro,Estrella,Retiro
